opcode_hex,mnemonic,cpu_level
0x0CFC,CAS2,2
0x0D08,MVPMR,0
0x0D09,MVPMR,0
0x0D0A,MVPMR,0
0x0D0B,MVPMR,0
0x0D0C,MVPMR,0
0x0D0D,MVPMR,0
0x0D0E,MVPMR,0
0x0D0F,MVPMR,0
0x0D48,MVPMR,0
0x0D49,MVPMR,0
0x0D4A,MVPMR,0
0x0D4B,MVPMR,0
0x0D4C,MVPMR,0
0x0D4D,MVPMR,0
0x0D4E,MVPMR,0
0x0D4F,MVPMR,0
0x0D88,MVPRM,0
0x0D89,MVPRM,0
0x0D8A,MVPRM,0
0x0D8B,MVPRM,0
0x0D8C,MVPRM,0
0x0D8D,MVPRM,0
0x0D8E,MVPRM,0
0x0D8F,MVPRM,0
0x0DC8,MVPRM,0
0x0DC9,MVPRM,0
0x0DCA,MVPRM,0
0x0DCB,MVPRM,0
0x0DCC,MVPRM,0
0x0DCD,MVPRM,0
0x0DCE,MVPRM,0
0x0DCF,MVPRM,0
0x0E10,MOVES,1
0x0E11,MOVES,1
0x0E12,MOVES,1
0x0E13,MOVES,1
0x0E14,MOVES,1
0x0E15,MOVES,1
0x0E16,MOVES,1
0x0E17,MOVES,1
0x0E18,MOVES,1
0x0E19,MOVES,1
0x0E1A,MOVES,1
0x0E1B,MOVES,1
0x0E1C,MOVES,1
0x0E1D,MOVES,1
0x0E1E,MOVES,1
0x0E1F,MOVES,1
0x0E20,MOVES,1
0x0E21,MOVES,1
0x0E22,MOVES,1
0x0E23,MOVES,1
0x0E24,MOVES,1
0x0E25,MOVES,1
0x0E26,MOVES,1
0x0E27,MOVES,1
0x0E28,MOVES,1
0x0E29,MOVES,1
0x0E2A,MOVES,1
0x0E2B,MOVES,1
0x0E2C,MOVES,1
0x0E2D,MOVES,1
0x0E2E,MOVES,1
0x0E2F,MOVES,1
0x0E30,MOVES,1
0x0E31,MOVES,1
0x0E32,MOVES,1
0x0E33,MOVES,1
0x0E34,MOVES,1
0x0E35,MOVES,1
0x0E36,MOVES,1
0x0E37,MOVES,1
0x0E38,MOVES,1
0x0E39,MOVES,1
0x0E50,MOVES,1
0x0E51,MOVES,1
0x0E52,MOVES,1
0x0E53,MOVES,1
0x0E54,MOVES,1
0x0E55,MOVES,1
0x0E56,MOVES,1
0x0E57,MOVES,1
0x0E58,MOVES,1
0x0E59,MOVES,1
0x0E5A,MOVES,1
0x0E5B,MOVES,1
0x0E5C,MOVES,1
0x0E5D,MOVES,1
0x0E5E,MOVES,1
0x0E5F,MOVES,1
0x0E60,MOVES,1
0x0E61,MOVES,1
0x0E62,MOVES,1
0x0E63,MOVES,1
0x0E64,MOVES,1
0x0E65,MOVES,1
0x0E66,MOVES,1
0x0E67,MOVES,1
0x0E68,MOVES,1
0x0E69,MOVES,1
0x0E6A,MOVES,1
0x0E6B,MOVES,1
0x0E6C,MOVES,1
0x0E6D,MOVES,1
0x0E6E,MOVES,1
0x0E6F,MOVES,1
0x0E70,MOVES,1
0x0E71,MOVES,1
0x0E72,MOVES,1
0x0E73,MOVES,1
0x0E74,MOVES,1
0x0E75,MOVES,1
0x0E76,MOVES,1
0x0E77,MOVES,1
0x0E78,MOVES,1
0x0E79,MOVES,1
0x0E90,MOVES,1
0x0E91,MOVES,1
0x0E92,MOVES,1
0x0E93,MOVES,1
0x0E94,MOVES,1
0x0E95,MOVES,1
0x0E96,MOVES,1
0x0E97,MOVES,1
0x0E98,MOVES,1
0x0E99,MOVES,1
0x0E9A,MOVES,1
0x0E9B,MOVES,1
0x0E9C,MOVES,1
0x0E9D,MOVES,1
0x0E9E,MOVES,1
0x0E9F,MOVES,1
0x0EA0,MOVES,1
0x0EA1,MOVES,1
0x0EA2,MOVES,1
0x0EA3,MOVES,1
0x0EA4,MOVES,1
0x0EA5,MOVES,1
0x0EA6,MOVES,1
0x0EA7,MOVES,1
0x0EA8,MOVES,1
0x0EA9,MOVES,1
0x0EAA,MOVES,1
0x0EAB,MOVES,1
0x0EAC,MOVES,1
0x0EAD,MOVES,1
0x0EAE,MOVES,1
0x0EAF,MOVES,1
0x0EB0,MOVES,1
0x0EB1,MOVES,1
0x0EB2,MOVES,1
0x0EB3,MOVES,1
0x0EB4,MOVES,1
0x0EB5,MOVES,1
0x0EB6,MOVES,1
0x0EB7,MOVES,1
0x0EB8,MOVES,1
0x0EB9,MOVES,1
0x0ED0,CAS,2
0x0ED1,CAS,2
0x0ED2,CAS,2
0x0ED3,CAS,2
0x0ED4,CAS,2
0x0ED5,CAS,2
0x0ED6,CAS,2
0x0ED7,CAS,2
0x0ED8,CAS,2
0x0ED9,CAS,2
0x0EDA,CAS,2
0x0EDB,CAS,2
0x0EDC,CAS,2
0x0EDD,CAS,2
0x0EDE,CAS,2
0x0EDF,CAS,2
0x0EE0,CAS,2
0x0EE1,CAS,2
0x0EE2,CAS,2
0x0EE3,CAS,2
0x0EE4,CAS,2
0x0EE5,CAS,2
0x0EE6,CAS,2
0x0EE7,CAS,2
0x0EE8,CAS,2
